"nomor_rencana_produksi";"id_user";"keterangan";"tanggal_rencana";"tanggal_input";"status";"created_at";"created_by";"updated_at";"updated_by"
"WOS2111-0020";"3";NULL;"2021-11-23";"2021-11-23";"1";"2021-11-23 08:57:45";"3";"2021-11-23 08:57:45";"3"
"WOS2111-0021";"3";NULL;"2021-11-23";"2021-11-23";"1";"2021-11-23 09:00:45";"3";"2021-11-23 09:00:45";"3"
"WOS2111-0022";"3";NULL;"2021-11-23";"2021-11-23";"1";"2021-11-23 09:01:56";"3";"2021-11-23 09:01:56";"3"
"WOS2111-0023";"3";NULL;"2021-11-23";"2021-11-23";"1";"2021-11-23 09:06:20";"3";"2021-11-23 09:06:20";"3"
"WOS2111-0024";"3";"a";"2021-11-23";"2021-11-23";"1";"2021-11-23 09:06:28";"3";"2021-11-23 09:06:28";"3"
"WOS2111-0025";"3";NULL;"2021-11-23";"2021-11-23";"1";"2021-11-23 09:13:42";"3";"2021-11-23 09:13:42";"3"
"WOS2111-0026";"3";NULL;"2021-11-23";"2021-11-23";"1";"2021-11-23 13:48:35";"3";"2021-11-23 13:48:35";"3"
"WOS2111-0027";"3";NULL;"2021-11-23";"2021-11-23";"1";"2021-11-23 13:48:58";"3";"2021-11-23 13:48:58";"3"
"WOS2111-0028";"3";NULL;"2021-11-22";"2021-11-23";"1";"2021-11-23 13:49:05";"3";"2021-11-23 13:49:05";"3"
"WOS2111-0029";"3";NULL;"2021-11-24";"2021-11-23";"1";"2021-11-23 13:49:10";"3";"2021-11-23 13:49:10";"3"
"WOS2111-0030";"3";NULL;"2021-11-24";"2021-11-23";"1";"2021-11-23 13:52:35";"3";"2021-11-23 13:52:35";"3"
"WOS2111-0031";"3";NULL;"2021-11-24";"2021-11-23";"1";"2021-11-23 14:03:56";"3";"2021-11-23 14:03:56";"3"
