"nomor_laporan_produksi_lab";"nomor_laporan_produksi";"jam_waktu";"mesin";"rpm";"mesh";"std_ssa";"ssa";"std_d50";"d50";"std_d98";"d98";"cie86";"iso2470";"moisture";"residue"
"LHPL2007-000001";"LHP2007-0001";"08:00:00";"1";"1000";"800";NULL;"11529";NULL;"1.74";NULL;"20.65";"87.3";"94.1";"0.152";"0.01"
"LHPL2007-000002";"LHP2007-0001";"08:00:00";"2";"2000";"6000";NULL;"11668";NULL;"1.73";NULL;"18.16";"81.6";"92";"0.112";"0.01"
"LHPL2007-000003";"LHP2007-0001";"08:00:00";"3";"3000";"800";NULL;"11583";NULL;"1.79";NULL;"20.95";"84.8";"90.9";"0.144";"0.02"
"LHPL2007-000004";"LHP2007-0001";"08:00:00";"10";"6000";"500";NULL;"6972";NULL;"6.62";NULL;"49.4";"75.8";"86.4";"0.424";"0.01"
"LHPL2007-000005";"LHP2007-0002";"12:00:00";"1";NULL;"800";NULL;NULL;NULL;"0";NULL;"0";"85.5";"92";"0.141";"0.01"
"LHPL2007-000006";"LHP2007-0002";"12:00:00";"2";NULL;"6000";NULL;NULL;NULL;"0";NULL;"0";"85.5";"92";"0.105";"0.05"
"LHPL2007-000007";"LHP2007-0002";"12:00:00";"3";NULL;"800";NULL;NULL;NULL;"0";NULL;"0";"84.2";"92.4";"0.108";"0.01"
"LHPL2007-000008";"LHP2007-0002";"12:00:00";"10";NULL;"500";NULL;NULL;NULL;"0";NULL;"0";"76";"87.2";"0.548";"0.02"
"LHPL2007-000009";"LHP2007-0001";"08:00:00";"4";"4000";"800";NULL;"6882";NULL;"7.01";NULL;"47.54";"80.6";"90.4";"0.236";"0.01"
"LHPL2008-000001";"LHP2008-0001";"08:00:00";"1";"390";"800";NULL;"10422";NULL;"2.14";NULL;"21.65";"85";"91.5";"0.222";"0.01"
"LHPL2008-000002";"LHP2008-0001";"08:00:00";"2";"470";"2000";NULL;"11135";NULL;"1.88";NULL;"25.68";"86.2";"93.9";"0.138";"0.04"
"LHPL2008-000003";"LHP2008-0001";"08:00:00";"3";"405";"1200";NULL;"11235";NULL;"2.11";NULL;"81.94";"79.3";"90.1";"0.186";"0.05"
"LHPL2008-000004";"LHP2008-0001";"08:00:00";"4";"440";"800";NULL;"8152";NULL;"5.06";NULL;"51.8";"80";"90.4";"0.141";"0.02"
"LHPL2008-000005";"LHP2008-0001";"08:00:00";"5";"350";"800";NULL;"8168";NULL;"4.99";NULL;"52.43";"82.7";"93.1";"0.169";"0.1"
"LHPL2008-000006";"LHP2008-0001";"08:00:00";"6";"370";"500";NULL;"6260";NULL;"5.97";NULL;"48.78";"79.2";"87.5";"0.182";"0.18"
"LHPL2008-000007";"LHP2008-0001";"08:00:00";"7";"370";"500";NULL;"6569";NULL;"4.86";NULL;"38.39";"79.2";"87.2";"0.536";"0.01"
"LHPL2008-000008";"LHP2008-0001";"08:00:00";"8";"365";"500";NULL;"6828";NULL;"6.24";NULL;"45.13";"86.6";"93.3";"0.189";"0.03"
"LHPL2008-000009";"LHP2008-0001";"08:00:00";"9";"385";"500";NULL;"7007";NULL;"6.59";NULL;"46.26";"83";"90.3";"0.185";"0.06"
"LHPL2008-000010";"LHP2008-0001";"08:00:00";"10";"385";"500";NULL;"7486";NULL;"4.78";NULL;"43.01";"78.7";"88";"0.163";"0.09"
"LHPL2008-000014";"LHP2008-0003";"13:00:00";"1";"390";"800";NULL;"10422";NULL;"2.14";NULL;"21.65";"83.7";"89.5";"0.149";"0.02"
"LHPL2008-000015";"LHP2008-0003";"13:00:00";"2";"470";"2000";NULL;"11135";NULL;"1.88";NULL;"25.68";"83.8";"91.4";"0.1";"0.01"
"LHPL2008-000016";"LHP2008-0003";"13:00:00";"3";"405";"1200";NULL;"11235";NULL;"2.11";NULL;"81.94";"87.1";"93.4";"0.108";"0.06"
"LHPL2008-000017";"LHP2008-0003";"13:00:00";"4";"440";"800";NULL;"8152";NULL;"5.06";NULL;"51.8";"83.7";"92.3";"0.312";"0.07"
"LHPL2008-000018";"LHP2008-0003";"13:00:00";"5";"350";"800";NULL;"8168";NULL;"4.99";NULL;"52.43";"80.5";"89.7";"0.105";"0.15"
"LHPL2008-000019";"LHP2008-0003";"13:00:00";"6";"370";"500";NULL;"6260";NULL;"5.97";NULL;"48.78";"80";"89";"0.176";"0.08"
"LHPL2008-000020";"LHP2008-0003";"13:00:00";"7";"370";"500";NULL;"6569";NULL;"4.86";NULL;"38.39";"80.3";"90.8";"0.369";"0.01"
"LHPL2008-000021";"LHP2008-0003";"13:00:00";"8";"365";"500";NULL;"6828";NULL;"6.24";NULL;"45.13";"81.2";"90.9";"0.152";"0.01"
"LHPL2008-000022";"LHP2008-0003";"13:00:00";"9";"385";"500";NULL;"7007";NULL;"6.59";NULL;"46.26";"80.6";"90.1";"0.28";"0.04"
"LHPL2008-000023";"LHP2008-0003";"13:00:00";"10";"385";"500";NULL;"7486";NULL;"4.78";NULL;"43.01";"73.3";"87.2";"0.209";"0.15"
"LHPL2008-000024";"LHP2008-0004";"08:00:00";"1";"390";"800";NULL;NULL;NULL;"0";NULL;"0";"86.6";"89";"0.109";"0.01"
"LHPL2008-000025";"LHP2008-0004";"08:00:00";"2";"470";"2000";NULL;NULL;NULL;"0";NULL;"0";"85.1";"92.1";"0.104";"0.03"
"LHPL2008-000026";"LHP2008-0004";"08:00:00";"3";"405";"1200";NULL;NULL;NULL;"0";NULL;"0";"85.5";"93.5";"0.108";"0.03"
"LHPL2008-000027";"LHP2008-0004";"08:00:00";"4";"440";"800";NULL;NULL;NULL;"0";NULL;"0";"84.6";"91.8";"0.188";"0.13"
"LHPL2008-000028";"LHP2008-0004";"08:00:00";"5";"350";"800";NULL;NULL;NULL;"0";NULL;"0";"83.7";"90.5";"0.109";"0.01"
"LHPL2008-000029";"LHP2008-0004";"08:00:00";"6";"370";"500";NULL;NULL;NULL;"0";NULL;"0";"79.8";"88.1";"0.611";"0.3"
"LHPL2008-000030";"LHP2008-0004";"08:00:00";"7";"370";"500";NULL;NULL;NULL;"0";NULL;"0";"79.3";"89.1";"0.465";"0.01"
"LHPL2008-000031";"LHP2008-0004";"08:00:00";"8";"365";"500";NULL;NULL;NULL;"0";NULL;"0";"78.6";"89.1";"0.418";"0.03"
"LHPL2008-000032";"LHP2008-0004";"08:00:00";"9";"325";"325";NULL;NULL;NULL;"0";NULL;"0";"78";"89";"1.104";"0.37"
"LHPL2008-000033";"LHP2008-0004";"08:00:00";"10";"385";"500";NULL;NULL;NULL;"0";NULL;"0";"78.8";"89.5";"0.197";"0.06"
"LHPL2008-000034";"LHP2008-0005";"13:00:00";"1";"390";"800";NULL;"11858";NULL;"1.5";NULL;"17.17";"81.7";"91.4";"0.244";"0.03"
"LHPL2008-000035";"LHP2008-0005";"13:00:00";"2";"470";"2000";NULL;"11399";NULL;"2.19";NULL;"24.53";"81.6";"92.2";"0.108";"0.01"
"LHPL2008-000036";"LHP2008-0005";"13:00:00";"3";"405";"1200";NULL;"11290";NULL;"1.96";NULL;"24.05";"85.2";"92.6";"0.127";"0.04"
"LHPL2008-000037";"LHP2008-0005";"13:00:00";"4";"440";"800";NULL;"7319";NULL;"5.45";NULL;"51.46";"84.7";"91.8";"0.143";"0.06"
"LHPL2008-000038";"LHP2008-0005";"13:00:00";"5";"350";"800";NULL;"8213";NULL;"5.03";NULL;"52.03";"83.5";"91.4";"0.121";"0.04"
"LHPL2008-000039";"LHP2008-0005";"13:00:00";"6";"370";"800";NULL;"6700";NULL;"5.83";NULL;"52.64";"81.8";"89.9";"0.238";"0.14"
"LHPL2008-000040";"LHP2008-0005";"13:00:00";"7";"370";"800";NULL;"6455";NULL;"5.34";NULL;"36.79";"79.2";"90.6";"0.21";"0.01"
"LHPL2008-000041";"LHP2008-0005";"13:00:00";"8";"365";"500";NULL;"6644";NULL;"4.84";NULL;"44.07";"73";"86.8";"0.249";"0.11"
"LHPL2008-000042";"LHP2008-0005";"13:00:00";"9";"385";"500";NULL;"7007";NULL;"4.39";NULL;"44.03";"78.7";"89.8";"0.178";"0.01"
"LHPL2008-000043";"LHP2008-0006";"08:00:00";"1";"390";"800";NULL;"10302";NULL;"1.64";NULL;"20.05";"85.7";"89";"0.292";"0.03"
"LHPL2008-000044";"LHP2008-0006";"08:00:00";"2";"470";"2000";NULL;"12178";NULL;"1.59";NULL;"20.75";"83.8";"92.3";"0.154";"0.03"
"LHPL2008-000045";"LHP2008-0006";"08:00:00";"3";"405";"1200";NULL;"11235";NULL;"1.84";NULL;"24.45";"85.1";"92.7";"0.201";"0.05"
"LHPL2008-000046";"LHP2008-0006";"08:00:00";"4";"440";"800";NULL;"7403";NULL;"4.97";NULL;"49.73";"84.5";"90.9";"0.352";"0.01"
"LHPL2008-000047";"LHP2008-0006";"08:00:00";"5";"350";"800";NULL;"8568";NULL;"4.65";NULL;"55.36";"82.6";"92";"0.151";"0.12"
"LHPL2008-000048";"LHP2008-0006";"08:00:00";"6";"370";"800";NULL;"6846";NULL;"6.03";NULL;"44.33";"79.2";"89.1";"0.264";"0.06"
"LHPL2008-000049";"LHP2008-0006";"08:00:00";"7";"370";"800";NULL;"6644";NULL;"4.75";NULL;"34.1";"79";"89.3";"0.342";"0.05"
"LHPL2008-000050";"LHP2008-0006";"08:00:00";"8";"365";"800";NULL;"6737";NULL;"6.24";NULL;"43.57";"75.4";"88.4";"0.169";"0.02"
"LHPL2008-000051";"LHP2008-0006";"08:00:00";"9";"385";"800";NULL;"7199";NULL;"4.67";NULL;"42.72";"79.6";"89.7";"0.24";"0.01"
"LHPL2008-000052";"LHP2008-0006";"08:00:00";"10";"385";"800";NULL;"6990";NULL;"6.34";NULL;"42.47";"79.5";"89.8";"0.172";"0.01"
"LHPL2008-000053";"LHP2008-0007";"13:00:00";"1";"390";"800";NULL;"10302";NULL;"1.64";NULL;"20.05";"84.7";"93.4";"0.107";"0.01"
"LHPL2008-000054";"LHP2008-0007";"13:00:00";"2";"470";"2000";NULL;"12178";NULL;"1.59";NULL;"20.75";"81.5";"91.4";"0.106";"0.02"
"LHPL2008-000055";"LHP2008-0007";"13:00:00";"3";"405";"1200";NULL;"11279";NULL;"1.84";NULL;"24.45";"85.6";"94.6";"0.109";"0.06"
"LHPL2008-000056";"LHP2008-0007";"13:00:00";"4";"440";"800";NULL;"7403";NULL;"4.97";NULL;"49.73";"81.7";"90.5";"0.21";"0.09"
"LHPL2008-000057";"LHP2008-0007";"13:00:00";"5";"345";"800";NULL;"8568";NULL;"4.65";NULL;"55.36";"83.7";"91.2";"0.106";"0.24"
"LHPL2008-000058";"LHP2008-0007";"13:00:00";"6";"370";"800";NULL;"6846";NULL;"6.03";NULL;"44.33";"79.5";"89.2";"0.173";"0.06"
"LHPL2008-000059";"LHP2008-0007";"13:00:00";"7";"370";"800";NULL;"6644";NULL;"4.75";NULL;"34.1";"81.4";"90.4";"0.175";"0.05"
"LHPL2008-000060";"LHP2008-0007";"13:00:00";"8";"365";"500";NULL;"6718";NULL;"4.83";NULL;"40.87";"73.5";"87.1";"0.137";"0.05"
"LHPL2008-000061";"LHP2008-0007";"13:00:00";"9";"385";"500";NULL;"7470";NULL;"4.09";NULL;"38.41";"78.5";"89.6";"0.165";"0.15"
"LHPL2008-000062";"LHP2008-0007";"13:00:00";"10";"385";"800";NULL;"6990";NULL;"6.34";NULL;"42.47";"76.8";"89.6";"0.157";"0.12"
"LHPL2008-000063";"LHP2008-0008";"08:00:00";"1";"390";"800";NULL;"9985";NULL;"1.86";NULL;"21.65";"85.7";"92.1";"0.109";"0.02"
"LHPL2008-000064";"LHP2008-0008";"08:00:00";"2";"470";"2000";NULL;"10762";NULL;"1.67";NULL;"21.55";"83.4";"90.6";"0.107";"0.01"
"LHPL2008-000065";"LHP2008-0008";"08:00:00";"3";"405";"800";NULL;"10762";NULL;"2.09";NULL;"26.49";"85.1";"92";"0.104";"0.06"
"LHPL2008-000066";"LHP2008-0008";"08:00:00";"4";"440";"800";NULL;"7251";NULL;"3.66";NULL;"45.98";"82.3";"91.3";"0.193";"0.2"
"LHPL2008-000067";"LHP2008-0008";"08:00:00";"5";"350";"800";NULL;"8303";NULL;"3.11";NULL;"45.57";"81.5";"90.2";"0.197";"0.15"
"LHPL2008-000068";"LHP2008-0008";"08:00:00";"6";"370";"800";NULL;"6882";NULL;"5.42";NULL;"35.51";"79.9";"88.5";"0.26";"0.01"
"LHPL2008-000069";"LHP2008-0008";"08:00:00";"7";"370";"800";NULL;"6607";NULL;"4.67";NULL;"34.12";"78.1";"88.9";"0.143";"0.01"
"LHPL2008-000070";"LHP2008-0008";"08:00:00";"8";"365";"800";NULL;"6718";NULL;"4.88";NULL;"38.78";"79";"89.1";"0.197";"0.03"
"LHPL2008-000071";"LHP2008-0008";"08:00:00";"9";"385";"800";NULL;"7130";NULL;"4.38";NULL;"38.42";"79.6";"89.9";"0.241";"0.05"
"LHPL2008-000072";"LHP2008-0008";"08:00:00";"10";"385";"500";NULL;"7601";NULL;"4.36";NULL;"39.13";"76.5";"88";"0.181";"0.09"
"LHPL2008-000073";"LHP2008-0009";"10:00:00";"1";"390";"800";NULL;"9985";NULL;"1.86";NULL;"21.65";"82.1";"91.2";"0.271";"0.03"
"LHPL2008-000074";"LHP2008-0009";"10:00:00";"2";"470";"2000";NULL;"10762";NULL;"1.67";NULL;"21.55";"82.4";"91.3";"0.109";"0.01"
"LHPL2008-000075";"LHP2008-0009";"10:00:00";"3";"405";"800";NULL;"10762";NULL;"2.09";NULL;"26.49";"84.7";"91.2";"0.128";"0.06"
"LHPL2008-000076";"LHP2008-0009";"10:00:00";"4";"440";"800";NULL;"7251";NULL;"3.66";NULL;"45.98";"80.7";"90.7";"0.312";"0.03"
"LHPL2008-000077";"LHP2008-0009";"10:00:00";"5";"350";"800";NULL;"8303";NULL;"3.11";NULL;"45.57";"80.9";"90.5";"0.151";"0.03"
"LHPL2008-000078";"LHP2008-0009";"10:00:00";"6";"370";"800";NULL;"6882";NULL;"5.42";NULL;"35.51";"78.4";"88.5";"0.225";"0.01"
"LHPL2008-000079";"LHP2008-0009";"10:00:00";"7";"370";"800";NULL;"6607";NULL;"4.67";NULL;"34.12";"80.2";"88.9";"0.467";"0.01"
"LHPL2008-000080";"LHP2008-0009";"10:00:00";"8";"365";"800";NULL;"6718";NULL;"4.88";NULL;"38.78";"78.6";"87.5";"0.508";"0.08"
"LHPL2008-000081";"LHP2008-0009";"10:00:00";"9";"385";"800";NULL;"7130";NULL;"4.38";NULL;"38.42";"79.3";"87.7";"0.539";"0.03"
"LHPL2008-000082";"LHP2008-0009";"10:00:00";"10";"385";"500";NULL;"7601";NULL;"4.36";NULL;"39.13";"75.2";"86.4";"0.224";"0.05"
"LHPL2008-000083";"LHP2008-0010";"11:00:00";"1";"390";NULL;NULL;"11279";NULL;"1.55";NULL;"19.41";"82.9";"92.1";"0.105";"0.01"
"LHPL2008-000084";"LHP2008-0010";"11:00:00";"2";"470";NULL;NULL;"11454";NULL;"1.47";NULL;"2023";"81";"90.9";"0.105";"0.03"
"LHPL2008-000085";"LHP2008-0010";"11:00:00";"3";"405";NULL;NULL;"12034";NULL;"1.36";NULL;"18.52";"81.8";"91.3";"0.105";"0.02"
"LHPL2008-000086";"LHP2008-0010";"11:00:00";"4";"440";NULL;NULL;"6810";NULL;"5.62";NULL;"52.32";"83.3";"89.6";"0.699";"0.12"
"LHPL2008-000087";"LHP2008-0010";"11:00:00";"5";"350";NULL;NULL;"7763";NULL;"4.49";NULL;"51.44";"81.9";"90.9";"0.11";"0.04"
"LHPL2008-000088";"LHP2008-0010";"11:00:00";"6";"370";NULL;NULL;"7078";NULL;"4.14";NULL;"36.38";"76.6";"87.6";"0.164";"0.03"
"LHPL2008-000089";"LHP2008-0010";"11:00:00";"7";"370";NULL;NULL;"6588";NULL;"5.65";NULL;"34.59";"75.9";"87.4";"0.242";"0.01"
"LHPL2008-000090";"LHP2008-0010";"11:00:00";"8";"365";NULL;NULL;"7113";NULL;"7.49";NULL;"39.92";"81.7";"88.1";"0.175";"0.33"
"LHPL2008-000091";"LHP2008-0010";"11:00:00";"9";"385";NULL;NULL;"7370";NULL;"4.17";NULL;"42.3";"81.3";"89";"0.375";"0.02"
"LHPL2008-000092";"LHP2008-0010";"11:00:00";"10";"385";NULL;NULL;"7113";NULL;"4.91";NULL;"39.76";"79.7";"89.3";"0.22";"0.07"
"LHPL2008-000093";"LHP2008-0011";"08:00:00";"1";"390";"800";NULL;"11334";NULL;"1.59";NULL;"19.24";"85.8";"93";"0.183";"0.01"
"LHPL2008-000094";"LHP2008-0011";"08:00:00";"2";"470";"6000";NULL;"10540";NULL;"1.75";NULL;"22.61";"85.4";"91.1";"0.137";"0.02"
"LHPL2008-000095";"LHP2008-0011";"08:00:00";"3";"405";"1200";NULL;"10994";NULL;"1.74";NULL;"19.28";"83.1";"90.4";"0.151";"0.03"
"LHPL2008-000096";"LHP2008-0011";"08:00:00";"4";"445";"800";NULL;"7403";NULL;"5.24";NULL;"49.38";"81.5";"90.7";"0.118";"0.01"
"LHPL2008-000097";"LHP2008-0011";"08:00:00";"5";"350";"800";NULL;"8213";NULL;"3.79";NULL;"47.2";"82.4";"92.8";"0.223";"0.17"
"LHPL2008-000098";"LHP2008-0011";"08:00:00";"6";"370";"800";NULL;"7095";NULL;"4.78";NULL;"38.16";"78.8";"89";"0.224";"0.11"
"LHPL2008-000099";"LHP2008-0011";"08:00:00";"7";"370";"800";NULL;"6737";NULL;"5.19";NULL;"34.84";"79.9";"89.9";"0.213";"0.01"
"LHPL2008-000100";"LHP2008-0011";"08:00:00";"8";"365";"500";NULL;"6397";NULL;"4.53";NULL;"44.68";"77";"88.9";"0.705";"0.05"
"LHPL2008-000101";"LHP2008-0011";"08:00:00";"9";"380";"500";NULL;"7285";NULL;"4.84";NULL;"42.95";"79.2";"90.6";"0.266";"0.04"
"LHPL2008-000102";"LHP2008-0011";"08:00:00";"10";"380";"500";NULL;"7302";NULL;"4.93";NULL;"41.46";"81.4";"90.4";"0.179";"0.01"
"LHPL2008-000103";"LHP2008-0012";"13:00:00";"1";"390";"800";NULL;"11334";NULL;"1.59";NULL;"19.24";"84.3";"91.8";"0.231";"0.01"
"LHPL2008-000104";"LHP2008-0012";"13:00:00";"2";"470";"6000";NULL;"10540";NULL;"1.75";NULL;"22.61";"84.1";"90.7";"0.123";"0.01"
"LHPL2008-000105";"LHP2008-0012";"13:00:00";"3";"405";"1200";NULL;"10994";NULL;"1.74";NULL;"19.28";"84.6";"91.6";"0.172";"0.01"
"LHPL2008-000106";"LHP2008-0012";"13:00:00";"4";"445";"800";NULL;"7403";NULL;"5.24";NULL;"49.38";"81.1";"88.9";"0.755";"0.1"
"LHPL2008-000107";"LHP2008-0012";"13:00:00";"5";"350";"800";NULL;"8213";NULL;"3.79";NULL;"47.2";"81.6";"90.9";"0.155";"0.05"
"LHPL2008-000108";"LHP2008-0012";"13:00:00";"6";"370";"500";NULL;"7060";NULL;"4.77";NULL;"38.26";"78.5";"88.1";"0.308";"0.04"
"LHPL2008-000109";"LHP2008-0012";"13:00:00";"8";"365";"500";NULL;"6397";NULL;"4.53";NULL;"44.68";"79.1";"89.1";"0.501";"0.03"
"LHPL2008-000110";"LHP2008-0012";"13:00:00";"9";"380";"500";NULL;"7285";NULL;"4.84";NULL;"42.95";"80.9";"89.7";"0.256";"0.02"
"LHPL2008-000111";"LHP2008-0012";"13:00:00";"10";"380";"500";NULL;"7302";NULL;"4.93";NULL;"41.46";"80.1";"90.1";"0.203";"0.01"
"LHPL2008-000112";"LHP2008-0013";"08:00:00";"1";"390";"800";NULL;"10773";NULL;"1.79";NULL;"21.05";"85.3";"92.2";"0.321";"0.01"
"LHPL2008-000113";"LHP2008-0013";"08:00:00";"2";"470";"2000";NULL;"10910";NULL;"2.07";NULL;"23.48";"84.9";"91.1";"0.168";"0.02"
"LHPL2008-000114";"LHP2008-0013";"08:00:00";"3";"405";"1200";NULL;"10727";NULL;"1.67";NULL;"21.2";"84.2";"91.7";"0.19";"0.03"
"LHPL2008-000115";"LHP2008-0013";"08:00:00";"4";"445";"800";NULL;"7165";NULL;"7.3";NULL;"54.41";"82.2";"89.3";"0.37";"0.47"
"LHPL2008-000116";"LHP2008-0013";"08:00:00";"5";"350";"800";NULL;"7420";NULL;"5.16";NULL;"52.65";"79.6";"91.4";"0.17";"0.1"
"LHPL2008-000117";"LHP2008-0013";"08:00:00";"6";"370";"800";NULL;"6828";NULL;"4.68";NULL;"43.11";"72.8";"86";"0.499";"0.24"
"LHPL2008-000118";"LHP2008-0013";"08:00:00";"7";"350";"325";NULL;"5934";NULL;"6.15";NULL;"34.89";"63.2";"82.2";"0.132";"0.01"
"LHPL2008-000119";"LHP2008-0013";"08:00:00";"8";"365";"800";NULL;"6990";NULL;"4.46";NULL;"40.09";"75.2";"87.6";"0.476";"0.04"
"LHPL2008-000120";"LHP2008-0013";"08:00:00";"9";"380";"500";NULL;"8014";NULL;"4.05";NULL;"39.25";"76.6";"87.5";"0.537";"0.1"
"LHPL2008-000121";"LHP2008-0013";"08:00:00";"10";"380";"500";NULL;"8107";NULL;"4.56";NULL;"42.49";"81.4";"89.1";"0.173";"0.18"
"LHPL2008-000122";"LHP2008-0014";"12:00:00";"1";"390";"1200";NULL;"11529";NULL;"1.75";NULL;"19.22";"83.2";"92.9";"0.134";"0.01"
"LHPL2008-000123";"LHP2008-0014";"12:00:00";"2";"470";"2000";NULL;"10910";NULL;"2.07";NULL;"23.48";"81.9";"90.5";"0.16";"0.01"
"LHPL2008-000124";"LHP2008-0014";"12:00:00";"3";"405";"1200";NULL;"10727";NULL;"1.67";NULL;"21.2";"82.4";"92.6";"0.132";"0.03"
"LHPL2008-000125";"LHP2008-0014";"12:00:00";"4";"445";"800";NULL;"7165";NULL;"7.3";NULL;"54.41";"79.1";"89.8";"0.337";"0.02"
"LHPL2008-000126";"LHP2008-0014";"12:00:00";"5";"350";"800";NULL;"7420";NULL;"5.16";NULL;"52.65";"81.5";"90.6";"0.126";"0.06"
"LHPL2008-000127";"LHP2008-0014";"12:00:00";"6";"370";"500";NULL;"6435";NULL;"4.52";NULL;"38.9";"80.2";"90.3";"0.255";"0.02"
"LHPL2008-000128";"LHP2008-0014";"12:00:00";"7";"350";"325";NULL;"5934";NULL;"6.15";NULL;"34.89";"66.2";"83.4";"0.128";"0.01"
"LHPL2008-000129";"LHP2008-0014";"12:00:00";"8";"365";"500";NULL;"6990";NULL;"4.96";NULL;"41.15";"78.6";"90.7";"0.437";"0.03"
"LHPL2008-000130";"LHP2008-0014";"12:00:00";"9";"380";"500";NULL;"8014";NULL;"4.05";NULL;"39.25";"78.6";"89.1";"0.269";"0.01"
"LHPL2008-000131";"LHP2008-0014";"12:00:00";"10";"380";"500";NULL;"8107";NULL;"4.56";NULL;"42.49";"75.5";"88.5";"0.222";"0.03"
"LHPL2008-000132";"LHP2008-0015";"08:00:00";"1";"390";"1200";NULL;"10218";NULL;"1.9";NULL;"20.16";"83.2";"92.4";"0.263";"0.02"
"LHPL2008-000133";"LHP2008-0015";"08:00:00";"2";"470";"6000";NULL;"9370";NULL;"2.15";NULL;"23.45";"81.8";"91";"0.22";"0.02"
"LHPL2008-000134";"LHP2008-0015";"08:00:00";"3";"405";"1200";NULL;"9605";NULL;"1.9";NULL;"21.74";"82.4";"93.1";"0.199";"0.06"
"LHPL2008-000135";"LHP2008-0015";"08:00:00";"4";"445";"800";NULL;"7060";NULL;"6.75";NULL;"55.2";"80.7";"91.5";"0.156";"0.83"
"LHPL2008-000136";"LHP2008-0015";"08:00:00";"5";"350";"800";NULL;"7251";NULL;"5.23";NULL;"49.18";"79";"88.4";"0.163";"0.03"
"LHPL2008-000137";"LHP2008-0015";"08:00:00";"6";"370";"800";NULL;"7165";NULL;"4.64";NULL;"37.92";"78.3";"88.4";"0.299";"0.02"
"LHPL2008-000138";"LHP2008-0015";"08:00:00";"7";"370";"325";NULL;"5829";NULL;"5.9";NULL;"35.89";"64.9";"83.9";"0.178";"0.01"
"LHPL2008-000139";"LHP2008-0015";"08:00:00";"8";"365";"800";NULL;"6455";NULL;"5.15";NULL;"44.94";"74.5";"87.1";"0.827";"0.01"
"LHPL2008-000140";"LHP2008-0015";"08:00:00";"9";"380";"500";NULL;"7470";NULL;"4.34";NULL;"40.45";"74.5";"86.8";"0.431";"0.03"
"LHPL2008-000141";"LHP2008-0015";"08:00:00";"10";"380";"500";NULL;"7905";NULL;"5.02";NULL;"42.12";"76.9";"88.5";"0.24";"0.1"
"LHPL2008-000142";"LHP2008-0016";"13:00:00";"1";"390";"1200";NULL;"10218";NULL;"1.9";NULL;"20.16";"82.5";"91.1";"0.167";"0.02"
"LHPL2008-000143";"LHP2008-0016";"13:00:00";"2";"470";"2000";NULL;"11700";NULL;"1.44";NULL;"20.26";"84";"91.7";"0.14";"0.01"
"LHPL2008-000144";"LHP2008-0016";"13:00:00";"3";"405";"1200";NULL;"9605";NULL;"1.9";NULL;"21.74";"84.9";"92.9";"0.18";"0.07"
"LHPL2008-000145";"LHP2008-0016";"13:00:00";"4";"450";"800";NULL;"7060";NULL;"6.75";NULL;"55.2";"83.4";"92.5";"0.163";"0.03"
"LHPL2008-000146";"LHP2008-0016";"13:00:00";"5";"350";"800";NULL;"7251";NULL;"5.23";NULL;"49.18";"79.8";"90.4";"0.122";"0.13"
"LHPL2008-000147";"LHP2008-0016";"13:00:00";"6";"370";"500";NULL;"6755";NULL;"4.5";NULL;"34.63";"77.5";"88.7";"0.232";"0.01"
"LHPL2008-000148";"LHP2008-0016";"13:00:00";"8";"370";"800";NULL;"6455";NULL;"5.15";NULL;"44.94";"79.5";"89.4";"0.504";"0.05"
"LHPL2008-000149";"LHP2008-0016";"13:00:00";"9";"380";"325";NULL;"7060";NULL;"4.73";NULL;"44.65";"80.6";"88.9";"0.231";"0.16"
"LHPL2008-000150";"LHP2008-0016";"13:00:00";"10";"375";"500";NULL;"7905";NULL;"5.02";NULL;"42.12";"81.9";"91.2";"0.136";"0.01"
"LHPL2008-000151";"LHP2008-0017";"08:00:00";"1";"390";"1200";NULL;"9250";NULL;"2.4";NULL;"23.44";"84.9";"90.9";"0.336";"0.01"
"LHPL2008-000152";"LHP2008-0017";"08:00:00";"2";"470";"2000";NULL;"10910";NULL;"1.61";NULL;"20.41";"85.2";"90.1";"0.19";"0.03"
"LHPL2008-000153";"LHP2008-0017";"08:00:00";"3";"405";"1200";NULL;"10362";NULL;"1.74";NULL;"21.74";"85.7";"92.2";"0.152";"0.05"
"LHPL2008-000154";"LHP2008-0017";"08:00:00";"4";"450";"800";NULL;"7095";NULL;"5.84";NULL;"53.05";"80.4";"91.2";"0.114";"0.04"
"LHPL2008-000155";"LHP2008-0017";"08:00:00";"5";"350";"800";NULL;"7025";NULL;"6.29";NULL;"49.25";"81";"90.8";"0.106";"0.05"
"LHPL2008-000156";"LHP2008-0017";"08:00:00";"6";"370";"500";NULL;"7043";NULL;"4.69";NULL;"29.37";"79.2";"91.1";"0.11";"0.01"
"LHPL2008-000157";"LHP2008-0017";"08:00:00";"7";"370";"800";NULL;"6792";NULL;"5.04";NULL;"33.77";"76.6";"89.4";"0.28";"0.01"
"LHPL2008-000158";"LHP2008-0017";"08:00:00";"8";"370";"500";NULL;"7060";NULL;"4.73";NULL;"38.67";"77.7";"88.6";"0.326";"0.01"
"LHPL2008-000159";"LHP2008-0017";"08:00:00";"9";"380";"500";NULL;"7251";NULL;"4.23";NULL;"36.41";"80.8";"89.7";"0.204";"0.03"
"LHPL2008-000160";"LHP2008-0017";"08:00:00";"10";"375";"500";NULL;"7336";NULL;"4.63";NULL;"41.67";"74.6";"88";"0.176";"0.01"
